PHA Code,PHA Name,Faircloth Limit
MA001, Lowell Housing Authority,1712
PA015, FAYETTE COUNTY HOUSING AUTHORITY,1694
GA002, Housing Authority of Savannah,1675
MA003, Cambridge Housing Authority,1659
NJ003, Elizabeth Housing Authority,1659
NC013, The Housing Authority of the City of Durham,1644
PA009, Reading Housing Authority,1627
MA024, Brockton Housing Authority,1626
VA001, Portsmouth Redevelopment & Housing Authority,1610
KY004, Housing Authority of Lexington,1595
WV001, Charleston/Kanawha Housing Authority,1574
NC001, Housing Authority of the City of Wilmington,1566
LA006, Housing Authority of Monroe,1522
FL004, Orlando Housing Authority,1520
OH012, Lorain Metropolitan Housing Authority,1474
VA011, Roanoke Redevelopment & Housing Authority,1467
PA011, Bethlehem Housing Authority,1466
GA004, Housing Authority of the City of Columbus,1461
OH008, Trumbull Metropolitan Housing Authority,1456
TX003," Housing Authority of the City of El Paso, TX",1453
TN003, Knoxville's Community Development Corp.,1437
AK001, Alaska Housing Finance Corporation,1426
NC006, Housing Authority of the City of High Point,1425
TX017, Housing Authority of the City of Galveston,1417
CA063, San Diego Housing Commission,1409
SC001, HOUSING AUTHORITY OF THE CITY OF CHARLESTON,1407
NJ012, Bayonne Housing Authority,1375
NJ015, Hoboken Housing Authority,1355
PA057, Housing Authority of the County of Luzerne,1352
SC008, SC REGIONAL HOUSING AUTHORITY NO 1,1326
PA003, Scranton Housing Authority,1325
IL004, Springfield Housing Authority,1318
GA003, Athens Housing Authority,1317
NY046, Town of Hempstead Housing Authority,1309
OH015, BUTLER METROPOLITAN HOUSING AUTHORITY,1302
RI003, Woonsocket Housing Authority,1291
LA003, Housing Authority of East Baton Rouge,1276
MI009, Flint Housing Commission,1248
GA007, Housing Authority of the City of Macon0Bibb,1246
MN003," HRA of DULUTH, MINNESOTA",1245
PA004, Allentown Housing Authority,1236
AL077, HA TUSCALOOSA,1235
NC015, Housing Authority of the City of Goldsboro,1225
NY003, The Municipal Hsng Authority City Yonkers,1215
PA038, Lackawanna County Housing Authority,1212
MA022, Malden Housing Authority,1208
CA011, Housing Authority of the County Contra Costa,1193
PA005, HOUSING AUTHORITY OF THE CITY OF MCKEESPORT,1189
MD006, Hagerstown Housing Authority,1180
NH001, Manchester Housing & Redevelopment Authority,1175
TN012, LaFollette Housing Authority,1130
CA007, County of Sacramento Housing Authority,1128
FL066, HIALEAH HOUSING AUTHORITY,1117
MS004, The Housing Authority of the City of Meridian,1117
FL007, Housing Authority of City of Daytona Beach,1100
IL024, Housing Authority of Joliet,1099
RI005, The Housing Authority of the City of Newport,1096
PA022, Housing Authority of the City of York,1093
KY006, Housing Authority of Paducah,1086
CA024, Housing Auth. of the County of San Joaquin,1075
TN005, Metropolitan Development & Housing Agency,1072
MS040, Mississippi Regional Housing Authority No. VIII,1058
MA010, Lawrence Housing Authority,1056
MD001, Housing Authority of the City of Annapolis,1053
NY006, Utica Housing Authority,1049
AL049, Greater Gadsden,1042
NY028, Schenectady Municipal Housing Authority,1039
VA017, Hampton Redevelopment & Housing Authority,1035
NM001, City of Albuquerque Housing Authority,1033
IL030, St. Clair County Housing Authority,1016
AR002, North Little Rock Housing Authority,1000
ME003, Portland Housing Authority,999
AR004, Housing Authority of the City of Little Rock,998
TN007, Jackson Housing Authority,996
AL125, HA BESSEMER,990
IN017, Indianapolis Housing Agency,989
PA017, WASHINGTON COUNTY HOUSING AUTHORITY,988
NJ004, North Bergen Housing Authority,985
WV004, Housing Authority of the City of Huntington,975
FL047, Housing Authority of the City of Fort Myers,972
SC004, THE GREENVILLE HOUSING AUTHORITY,964
KY002, Housing Authority of Covington,963
IL014, Housing Authority for LaSalle County,950
MA005, Holyoke Housing Authority,943
MI058, Lansing Housing Commission,935
WV003, Housing Authority of the City of Wheeling,935
MI006, Saginaw Housing Commission,933
PA026, HOUSING AUTH CO OF LAWRENCE,931
IN012, Housing Authority of the City of New Albany,918
CO002, Housing Authority of the City of Pueblo,913
IA020, Des Moines Municipal Housing Agency,911
NY055, Town of Oyster Bay Housing Authority,911
TX010, Housing Authority of the City of Waco,902
PA047, Wilkes Barre Housing Authority,899
CT007, Housing Authority of the City of Stamford,894
FL002, HOUSING AUTHORITY OF THE CITY OF ST. PETERSBURG,891
CA008, Housing Authority of the County of Kern,890
OH021, Springfield Metropolitan Housing Authority,889
GA285, NORTHWEST GA HOUSING AUTHORITY,888
VA004, Alexandria Redevelopment & Housing Authority,887
IL012, Decatur Housing Authority,875
MD018, Housing Commisson Of Anne Arundel County,872
IN021, Housing Authority of the City of Terre Haute,867
GA010, Housing Authority of the City of Marietta,860
MI027, Inkster Housing Commission,858
CT002, Housing Authority Of The City Of Norwalk,853
FL041, HOUSING AUTHORITY OF THE CITY OF FORT PIERCE,850
NY011, Niagara Falls Housing Authority,849
SC027, HOUSING AUTHORITY OF FLORENCE,844
IL053," Housing Authority of the County of Jackson, IL.",840
IN015, Housing Authority of South Bend,837
IL015, Madison County Housing Authority,833
FL010, HOUSING AUTHORITY OF THE CITY OF FORT LAUDERDALE,822
RI002, Housing Authority of the City of Pawtucket,815
CA006, Housing Authority City of Fresno,813
PA023, Housing Authority County of Delaware,810
IN029, Housing Authority of the City of East Chicago,808
CT005, Housing Authority of the CIty of New Britain,807
SC024, SC REGIONAL HOUSING AUTHORITY NO 3,805
LA002, HOUSING AUTHORITY OF SHREVEPORT,802
NC009, Fayetteville Metropolitan Housing Authority,801
NC004, Housing Authority of the City of Kinston,799
MD004, HOUSING OPPRTY COM OF MONTGOMERY CO,796
MI005, Pontiac Housing Commission,795
CT006, Waterbury Housing Authority,794
OH014, Jefferson Metropolitan Housing Authority,794
PA035, Housing Authority of the County of Dauphin,790
MA015, Medford Housing Authority,782
CA031, Housing Authority of the City of Oxnard,780
IN003, Fort Wayne Housing Authority,778
AL048, Housing Authority of the City of Decatur,776
SC003, HOUSING AUTHORITY OF SPARTANBURG,773
NC019, Rocky Mount Housing Authority,768
MO058, Springfield Housing Authority,766
WI003, Madison Community Development Authority,766
NV001, CITY OF RENO HOUSING AUTHORITY,764
TX011, Housing Authority of the City of Laredo,764
AL005, PHENIX CITY HOUSING AUTHORITY,760
NC020, Housing Authority of the City of Wilson,755
TX004, Housing Authority of Fort Worth,755
GQ001, Guam Housing & Urban Renewal Authority,751
AL004, ANNISTON HA,748
FL011, HOUSING AUTHORITY OF THE CITY OF LAKELAND,748
KS002, Topeka Housing Authority,744
NC010, Eastern Carolina Regional Housing Authority,739
MO004, Housing Authority of St. Louis County,732
NC014, Housing Authority of the City of Lumberton,731
TX023, Housing Authority of the City of Beaumont,731
OH020, Belmont Metropolitan Housing Authority,727
IL050, Housing Authority of the County of Williamson,725
WA005, HA City of Tacoma,719
CA030, Tulare County Housing Authority,714
NC022, Housing Authority of the City of Greenville,714
CO028, Housing Authority of the City of Colorado Springs,707
TX007, Housing Authority of the City of Brownsville,705
NC011, Housing Authority of the City of Greensboro,702
OR006, Housing Authority & Comm Svcs of Lane Co,696
CA010, Housing Authority of the City of Richmond,694
LA055, Housing Authority of City of Opelousas,690
IL061, Housing Authority of the County of Franklin,686
NY010, Watertown Housing Authority,685
CA019, Housing Authority of the County of San Bernardino,678
IN026, Housing Authority of the City of Elkhart,672
TN038, Morristown Housing Authority,672
NJ037, Irvington Housing Authority,665
NH002, Nashua Housing and Redevelopment Authority,662
IL090, Aurora Housing Authority ofthe City of Aurora,658
CA028, Housing Authority of Fresno County,655
IL005, Granite City Housing Authority,651
MA020, Quincy Housing Authority,651
PA051, Bucks County Housing Authority,648
CA026, Housing Authority of the County of Stanislaus,647
NJ008, Long Branch Housing Authority,643
OH010, Portsmouth Metropolitan Housing Authority,643
GA062, Housing Authority of the City of Americus,642
FL073, Tallahassee Housing Authority,641
NY016, Binghamton Housing Authority,641
IL051," Housing Authority of the City of Bloomington, IL",640
IN005, Housing Authority of the City of Muncie,640
RI006, Cranston Housing Authority,639
FL063, Gainesville Housing Authority,635
UT004, Housing Authority of Salt Lake City,635
GA023, Housing Authority of the City of Albany,634
TX022, Housing Authority of Wichita Falls,634
NC003, Housing Authority of the City of Charlotte,630
PA012, Montgomery County Housing Authority,630
FL006, Area Housing Commission,627
AL057, Sylacauga Housing Authority,626
FL020, HOUSING AUTHORITY OF BREVARD COUNTY,626
CT013, East Hartford Housing Authority,625
AL086, Jefferson County Housing Authority,620
IL056," Housing Authority of the County of Lake, IL.",620
VA010, Danville Redevelopment & Housing Authority,619
CT029, West Haven Housing Authority,617
UT003, Housing Authority of the County of Salt Lake,616
KY009, Housing Authority of Owensboro,614
AL008, Selma Housing Authority,613
WI006, La Crosse Housing Authority,611
PA016, Schuylkill County Housing Authority,610
NY018, Plattsburgh Housing Authority,607
GA200, Housing Authority of the City of Milledgeville,603
LA090, Housing Authority of the City of Houma,600
IN010, Housing Authority of the City of Hammond,599
KY063, Housing Authority of Bowling Green,598
PA024, Easton Housing Authority,595
TX018, Housing Authority of Lubbock,591
FL013, HOUSING AUTHORITY OF THE CITY OF KEY WEST,590
GA009, Housing Authority of the City of Brunswick,589
LA004, HOUSING AUTHORITY OF LAKE CHARLES,589
TN021, Dyersburg Housing Authority,588
TX065, Harlingen Housing Authority,588
MS030, Mississippi Regional Housing Authority No. V,587
NJ007, Asbury Park Housing Authority,587
OH029, ASHTABULA METROPOLITAN HOUSING AUTHORITY,585
MA031, Somerville Housing Authority,584
NJ024, Phillipsburg Housing Authority,582
WA003, Housing Authority of the City of Bremerton,582
IL025, Housing Authority Cook County,581
FL075, CLEARWATER HOUSING AUTHORITY,580
TN033, Highlands Residential Services,580
KS004, Wichita Housing Authority,578
MO013, Housing Authority of the City of Poplar Bluff,577
KY015, Housing Authority of Newport,575
LA005, Housing Authority of the City of Lafayette,572
MD015, Housing Authority of Prince Georges County,571
OR001, Housing Authority of Clackamas County,569
ME009, Housing Authority City of Bangor,567
PA036, The Housing Auth of the City of Lancaster,565
IN007, Kokomo Housing Authority,560
MA017, Taunton Housing Authority,558
CA059, Santa Clara County Housing Authority,555
CT023, Bristol Housing Authority,553
MI038, Jackson Housing Commission,553
GA069, Housing Authority of the City of Dublin,550
IL011," The Housing Authority Of The City Of Danville, IL",550
PA039, Housing Authority of the County of Armstrong,550
CA023, County of Merced Housing Authority,549
GA100, Housing Authority of the City of Valdosta,546
FL080, PALM BEACH COUNTY HOUSING AUTHORITY,543
AR016, Camden Housing Authority,540
NC072, Statesville Housing Authority,540
PA031, ALTOONA HOUSING AUTHORITY,539
MS002, The Housing Authority of the City of Laurel,538
IL007, Alexander County Housing Authority,534
MO017, Housing Authority of the City of Independence,532
PA037, Housing Authority of the City of Pottsville,532
NJ025, Housing Authority of the City of Orange,529
WA025, Housing Authority City of Bellingham,529
IL043, Housing Authority 0 County of Saline,527
IL010, Grtr Metro. Area Hsng Auth of Rock Island County,522
TX037, Housing Authority City of Orange,520
RI011, Warwick Housing Authority,519
ND014, Fargo Housing and Redevelopment Authority,518
MD005, Housing Authority of the City of Cumberland,516
FL021, PAHOKEE HOUSING AUTHORITY,515
CA143, Imperial Valley Housing Authority,511
NJ061, Millville Housing Authority,510
TN010, The Clarksville Housing Authority,510
PA046, Housing Authority of the County of Chester,507
TX019, Eagle Pass Housing Authority,502
CA052, HOUSING AUTHORITY OF COUNTY OF MARIN,500
GA028, Housing Authority of the City of Waycross,500
PA021, Housing Authority of the County of Lycoming,500
SD045, Pennington County Housing and Redevelopment Commission,500
NY030, Elmira Housing Authority,499
NJ022, New Brunswick Housing Authority,494
NC087, Mid0East Regional Housing Authority,493
AL053," Housing Authority of Hamilton, Alabama",491
NY029, Lackawanna Municipal Housing Authority,491
MT002, Great Falls Housing Authority,490
IL020, Moline Housing Authority,488
CT011, Housing Authority of the City of Meriden,485
FL057, Palatka Housing Authority,484
OH026, COLUMBIANA METROPOLITAN HOUSING AUTHORITY,484
GA078, Housing Authority of the City of East Point,483
VA002, Bristol Redevelopment & Housing Authority,481
FL016, The Housing Authority of the City of Sanford,480
MS076, The Housing Authority of the City of Columbus,480
AL174, Housing Authority of the City of Alexander City,477
GA063, Housing Authority of the City of Cordele,475
NJ039, Plainfield Housing Authority,473
GA095, Housing Authority of the City of Newnan,472
NJ023, Morristown Housing Authority,470
TX062, Edinburg Housing Authority,469
CT020, Housing Authority of the City of Danbury,467
VA012, Chesapeake Redevelopment & Housing Authority,467
IL009, The Housing Authority of Henry County,466
PA010, HOUSING AUTHORITY OF THE COUNTY OF BUTLER,466
VA025, Suffolk Redevelopment and Housing Authority,466
NC035, Sanford Housing Authority,465
WI001, Housing Authority of the City of Superior,464
KY019, Housing Authority of Middlesborough,463
IL018, Housing Authority of the City of Rock Island,462
PA050, Tioga County Housing Authority,462
MA023, Lynn Housing Authority,460
KY011, Housing Authority of Hopkinsville,459
GA096, Housing Authority of the City of Camilla,458
MD003, Frederick Housing Authority,458
PA040, The Housing Authority of Clinton County,457
NJ034, Garfield Housing Authority,456
NJ026, Union City Housing Authority,455
FL009, WEST PALM BEACH HOUSING AUTHORITY,452
AL075, BOAZ HOUSING AUTHORITY,451
AR099, Housing Authority of the City of Forrest City,450
FL018, Panama City Housing Authority,450
MI004, Hamtramck Housing Commission,450
NJ049, Bridgeton Housing Authority,450
NY042, White Plains Housing Authority,450
RI007, East Providence Housing Authority,450
TN002, Johnson City Housing Authority,449
IL026, Housing Authority of the City of Waukegan,448
ME005, Lewiston Housing Authority,447
FL032, Ocala Housing Authority,445
IL057, Housing Authority of Marion County,445
MI039, Port Huron Housing Commission,444
IL079, Morgan County Housing Authority,443
OK095, Housing Authority of the City of Shawnee,442
PA043, The Housing Auth of the City of Nanticoke,440
TN029, Gallatin Housing Authority,440
GA264, Housing Authority of Fulton County,439
IL085, Knox County Housing Authority,438
LA042, Housing Authority of the City of Bossier City,437
TN053, McMinnville Housing Authority,435
TN054, Cleveland Housing Authority,434
CA044, Housing Authority of the County of Yolo,431
CT031, Torrington Housing Authority,430
KY012, Housing Authority of Henderson,430
TN039, Shelbyville Housing Authority,430
GA160, Housing Authority of the City of Warner Robins,427
CT009, Middletown Housing Authority,426
PA052, Housing Authority of the County of Lebanon,425
MA033, Brookline Housing Authority,424
AL073, HOUSING AUTHORITY OF THE CITY OF OZARK,421
NH004, Portsmouth Housing Authority,421
AR005, Blytheville Housing Authority,419
AL012, Housing Authority of the City of Jasper,418
NJ006, Perth Amboy Housing Authority,416
PA080, HOUSING AUTHORITY OF THE COUNTY OF MCKEAN,416
FL008, SARASOTA HOUSING AUTHORITY,414
AL160, TUSKEGEE HOUSING AUTHORITY,413
IL016, Quincy Housing Authority,413
AL068, Sheffield Housing Authority,412
FL062, PINELLAS COUNTY HOUSING AUTHORITY,410
GA076, Housing Authority of the City of Douglas,410
LA115, Housing Authority of the City of Natchitoches,410
MI035, Battle Creek Housing Commission,410
MS077, The Housing Authority of the City of Tupelo,410
TN036, Springfield Housing Authority,409
MS107, The Housing Authority of the City of Greenwood,408
DE004, Delaware State Housing Authority,404
FL079, BROWARD COUNTY HOUSING AUTHORITY,403
TN060, Newport Housing Authority,403
KY018, Housing Authority of Winchester,400
OK099, Housing Authority of the City of Muskogee,400
PA064, Bradford County Housing Authority,400
TN065, Maryville Housing Authority,400
KY014, Housing Authority of Danville,399
SC056, CHARLESTON CO HSG & REDEV AUTH,399
AL152, HA NORTHPORT,398
TN017, Lebanon Housing Authority,396
KY074, Housing Authority of Ashland,395
NE003, Hall County Housing Authority,395
NJ063, Vineland Housing Authority,395
SC007, HOUSING AUTHORITY OF AIKEN,390
MS019, Mississippi Regional Housing Authority No. IV,389
SC057, HOUSING AUTHORITY OF N CHARLESTON,389
NC027, Hendersonville Housing Authority,388
GA086, Housing Authority of the City of Waynesboro,387
GA280, FLINT AREA CONSOLIDATED,387
OH024, Chillicothe Metropolitan Housing Authority,387
NY039, Ogdensburg Housing Authority,386
AR024, West Memphis Housing Authority,385
NJ013, Housing Authority of the City of Passaic,384
GA073, Housing Authority of the City of Monroe,383
MA008, Chicopee Housing Authority,383
NC032, Washington Housing Authority,383
IN023, Housing Authority of the City of Jeffersonville,382
NY021, Cortland Housing Authority,380
NC118, Roanoke0Chowan Regional Housing Authority,378
OR008, Housing and Urban Renewal Agency of Polk County,378
AL118, EUFAULA HOUSING AUTHORITY,377
NM007, Housing Authority of the City of Las Vegas,377
NY050, Housing Authority of Long Beach,377
VA016, Charlottesville Redev & Housing Authority,376
SC021, HOUSING AUTHORITY OF MARION,375
GA281, ETOWAH AREA CONSOLIDATED,372
TN066, Bristol Housing,372
TN006, Kingsport Housing and Redevelopment Authority,371
AR021, Housing Authority of the City of Osceola,370
FL015, Northwest Florida Regional Housing Authority,370
MI010, Benton Harbor Housing Commission,370
NC066, Burlington Housing Authority,370
VA005, Hopewell Redevelopment & Housing Authority,370
KS053, Lawrence/Douglas County Housing Authority,369
SC022, HOUSING AUTHORITY OF ROCK HILL,369
VA020, Petersburg Redevelopment & Housing Authority,369
VT005, Barre Housing Authority,369
IL048, Perry County Housing Authority,367
IN002, Vincennes Housing Authority,367
KY026, Housing Authority of Glasgow,367
MT004, Helena Housing Authority,366
PA034, Housing Authority of the County of Franklin,366
NM003, Mesilla Valley Public Housing Authority,365
AL062," Housing Authority of the City of Lanett, AL",364
AR034, Trumann Housing Authority,364
WA008, Housing Authority of the City of Vancouver,363
IL047, Macoupin County Housing Authority,362
NY085, Village of Hempstead HA,362
MN006," HRA of WINONA, MINNESOTA",361
MN085, Housing & Redevelopment Authority of Austin,361
NY023, Freeport Housing Authority,361
NY062, Poughkeepsie Housing Authority,361
OH022, GREENE METROPOLITAN HOUSING AUTHORITY,361
IA004, Ottumwa Housing Authority,359
MO009, Housing Authority of the City of Jefferson,359
IL059, Housing Authority of Jefferson County,357
MI031, Muskegon Heights Housing Commission,357
MA016, Chelsea Housing Authority,356
MT003, Housing Authority of Butte,356
CA092, Housing Authority of the County of Ventura,355
MS066, The Housing Authority of the City of Picayune,355
NY070, Lockport Housing Authority,352
PA053, Sunbury Housing Authority,351
AL014, The Guntersville Housing Authority,350
LA029, Housing Authority of Crowley,350
OH009, Zanesville Metropolitan Housing Authority,350
TN020, Murfreesboro Housing Authority,350
PA033, HOUSING AUTHORITY OF THE CITY OF MEADVILLE,347
TN014, Fayetteville Housing Authority,347
IL067, Housing Authority of the County of Union,346
ME020, South Portland Housing Authority,346
MS103, The Housing Authority of the City of Jackson,346
PA030, The Housing Auth of the City of Carbondale,346
CA043, COUNTY OF BUTTE HSG AUTH,345
NC021, Housing Authority of the County of Wake,345
NJ048, Neptune Housing Authority,345
AR023, Housing Authority of the County of Poinsett,344
CT027, Housing Authority of the Town of Stratford,344
TX229, Housing Authority of Diboll,344
NY054, Ithaca Housing Authority,341
WY002, Housing Authority of the City of Cheyenne,341
ND021, Burleigh County Housing Authority,340
NY014, Port Chester Housing Authority,340
NY088, New Rochelle Housing Authority,340
TX025, San Benito Housing Authority,340
GA101, Housing Authority of the City of Tifton,339
NY020, Saratoga Springs Housing Authority,339
WI113," Housing Authority of the City of Oshkosh, WI",338
KY107, Housing Authority of Pikeville,336
NC046, Town of Chapel Hill Department of Housing,336
TN055, Harriman Housing Authority,336
GA026, Housing Authority of the City of LaGrange,335
IL039, Kankakee County Housing Authority,334
TN042, Crossville Housing Authority,334
MI003, Dearborn Housing Commission,333
CT030, Milford Redevelopment and Housing Partnership,332
NM063, Eastern Regional Housing Authority,332
AL007, Housing Authority of the City of Dothan,331
CT019, Greenwich Housing Authority,330
LA036, Housing Authority of the City of Morgan City,330
MD009, Housing Authority Of Crisfield,330
MS072, The Housing Authority of the City of Corinth,330
NC026, Elizabeth City Housing Authority,330
IL055, Housing Authority 0 City of Alton,329
MS060, The Housing Authority of the City of Brookhaven,329
RI004, Central Falls Housing Authority,329
GA060, Housing Authority of the City of Moultrie,328
IL126," Housing Authority of the City of Marion, Illinois",328
KY061, Housing Authority of Georgetown,328
VA013, Lynchburg Redevelopment & Housing Authority,328
SC023, HOUSING AUTHORITY OF SUMTER,327
WV006, Housing Authority of the City of Martinsburg,327
AL052, HA CULLMAN,326
AZ028, Chandler Housing & Redevelopment Division,326
TN076, Elizabethton Housing and Development Agency,326
TX030, Housing Authority of Temple,326
GA133, Housing Authority of the City of Alma,325
IL083, Winnebago County Housing Authority,325
MN147, DAKOTA COUNTY CDA,325
TN058, Greeneville Housing Authority,325
CA021, Housing Authority of the County of Santa Barbara,324
WV027, Clarksburg/Harrison Housing Authority,323
TX008, Corpus Christi Housing Authority,322
TX029, Mercedes Housing Authority,322
TX509, Cameron County Housing Authority,322
TX085, Victoria Housing Authority,321
OK005, Housing Authority of the City of Lawton,319
CT026, Manchester Housing Authority,318
KS006, Dodge City Housing Authority,318
SC035, HOUSING AUTHORITY OF NEWBERRY,315
PA027, HOUSING AUTHORITY OF THE COUNTY OF HUNTINGDON,314
DE002, Dover Housing Authority,312
IN022, Housing Authority of the City of Bloomington,312
CA067, Housing Authority of the County of Alameda,310
MN004," THE HRA OF HIBBING, MINNESOTA",310
TX033, Housing Authority of Corsicana,310
VA029, Cumberland Plateau Regional Housing Authority,309
LA044, Housing Authority of the City of Thibodaux,308
MO008, HOUSING AUTHORITY OF THE CITY OF SIKESTON,308
NY022, Cohoes Housing Authority,308
KY016, Housing Authority of Richmond,307
MI073, Grand Rapids Housing Commission,307
TN009, Union City Housing Authority,307
MA034, North Adams Housing Authority,306
NY079, Glens Falls Housing Authority,306
NY093, Olean Housing Authority,306
OH031, Portage Metropolitan Housing Authority,305
IN009, Housing Authority of the City of Richmond,304
MO036, Housing Authority of the City of Caruthersville,304
NJ092, Morris County Housing Authority,304
TX073, Pharr Housing Authority,304
AL011, Housing Authority of the City of Fort Payne,303
CA039, Housing Authority of the City of Calexico,303
TN048, Lawrenceburg Housing Authority,303
AL010, Fairfield Housing Authority,302
NY048, Gloversville Housing Authority,302
PA042, Housing Authority of the City of Pittston,302
TN062, Dayton Housing Authority,302
AL189, Top of Alabama Regional Housing Authority,300
AR050, Housing Authority of the City of Helena,300
FL023, HOUSING AUTHORITY OF THE CITY OF BRADENTON,300
GA059, Housing Authority of the City of Gainesville,300
GA170, Housing Authority of the City of LaFayette,300
IN035, Brazil Housing Authority,300
KY047, Campbellsville Housing and Redevelopment Authority,300
LA011, Housing Authority of Westwego,300
LA054, Housing Authority of Ruston,300
MI008, River Rouge Housing Commission,300
MI032, Benton Township Housing Commission,300
MO018, Housing Authority of the City of Kennett,300
NC023, Housing Authority of the Town of Mount Airy,300
PA028, The Housing Authority of Monroe County,300
TX020, Housing Authority of the City of Bryan,300
IN020, Housing Authority of the City of Mishawaka,299
PA044, The Housing Authority of the City of Hazleton,299
TN069, Martin Housing Authority,299
CA035, Housing Authority of the City of San Buenaventura,298
MA036, Newton Housing Authority,298
MN010," HRA OF THE CITY OF SOUTH ST PAUL, MINNESOTA",298
TX078, Housing Authority of Sherman,298
MS001, The Housing Authority of the City of Hattiesburg,296
MS007, The Housing Authority of the City of Clarksdale,296
MS105, The Housing Authority of the City of Natchez,296
IA023, Municipal Housing Agency of Council Bluffs,295
SC026, HOUSING AUTHORITY OF BEAUFORT,295
SC028, HOUSING AUTHORITY OF GEORGETOWN,295
WA006, HA City of Everett,294
MI011, Monroe Housing Commission,293
MI028, Mount Clemens Housing Commission,292
MN038," HRA of ST. CLOUD, MINNESOTA",291
GA184, Housing Authority of the City of Conyers,290
NC084, Robeson County Housing Authority,290
PA045, HOUSING AUTHORITY OF THE COUNTY OF GREENE,290
PA081, Lehigh County Housing Authority,289
